id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,Proto
32286328,"The Cosy, Cute cosy room Historical Center Antwerp",51924769,Erik,M,Historisch Centrum,51.22388,4.40395,Private room,59,1,4,2019-08-28,0.12,6,359,0,M,Haha
32311589,"The Comfy, Charming Room Historical Center Antwerp",51924769,Erik,M,Historisch Centrum,51.22395,4.40218,Private room,55,1,9,2019-10-22,0.26,6,148,0,M,Haha
32311719,The Suite - Gorgeous Room + En-Suite Bathroom(1-4),51924769,Erik,M,Historisch Centrum,51.2235,4.40222,Private room,75,1,4,2019-11-02,0.12,6,355,0,M,Haha
32311829,"The Lux - Spacious Room, Historical Center Antwerp",51924769,Erik,M,Historisch Centrum,51.22234,4.40355,Private room,75,1,8,2019-12-13,0.24,6,357,0,M,Haha
32312156,"The Loft, Spacious Charming Loft Historical Center",51924769,Erik,M,Historisch Centrum,51.22432,4.40418,Private room,75,1,17,2019-11-10,0.49,6,354,0,M,Haha
32371479,Superb loft with courtyard in old heart of Antwerp,228207262,Ann,M,Historisch Centrum,51.21983,4.39777,Entire home/apt,89,14,2,2021-11-22,0.06,9,364,1,M,Haha
32458374,Loft in Red Light District Antwerpen,243840451,Jan,M,Historisch Centrum,51.22547,4.40392,Entire home/apt,125,2,2,2019-05-26,0.06,1,117,0,M,Haha
32467666,Cosy and renovated apartment in Antwerp center,110993942,Rev,M,Centraal Station,51.21822,4.42377,Entire home/apt,142,3,11,2021-11-21,0.32,16,353,3,M,Haha
32468319,Antwerp in her best,110993942,Rev,M,Centraal Station,51.21814,4.42188,Entire home/apt,114,2,11,2021-11-11,0.32,16,344,7,M,Haha
32627204,Private apartment near parc - B&B InterMezzo,245298644,Marco,M,Deurne Dorp - Gallifort,51.22158,4.46595,Entire home/apt,54,2,14,2021-12-16,0.46,1,122,7,M,Haha
32683116,Charmante Privékamer in Antwerpen-Wilrijk,215555864,Charlie,M,Hoogte,51.17527,4.40262,Private room,40,2,60,2020-03-08,1.76,2,15,0,M,Haha
32693198,Cosy and light appartement near the city center,302342894,Tuur,M,Borgerhout Intra Muros Zuid,51.21306,4.44139,Entire home/apt,49,5,15,2020-03-15,0.45,1,0,0,M,Haha
32763577,Antwerp City Center Flat (build in 2019),92984190,Dirk,M,Borgerhout Intra Muros Zuid,51.21123,4.42898,Entire home/apt,45,2,3,2020-04-04,0.11,1,0,0,M,Haha
32766971,"Comfortable, relaxing and with a personal touch",1838778,Sue,M,Markgrave,51.19642,4.39991,Private room,36,1,20,2021-11-22,0.6,1,143,3,M,Haha
32782208,Apartment on the vibrant 't Zuid,154660833,Karin,M,Zuid,51.20596,4.39343,Entire home/apt,32,60,1,2021-04-28,0.12,1,116,1,M,Haha
32784417,Fijne studio op het Zuid,221787959,Inge,M,Sint-Andries,51.21338,4.39251,Private room,82,2,40,2021-10-03,1.19,1,54,7,M,Haha
32827570,"Cosy,Quiet place nearby vivid and trendy Antwerp",82449992,Charlotte,M,Oud - Merksem,51.24036,4.44006,Entire home/apt,50,2,26,2021-10-24,0.78,1,0,5,M,Haha
32841697,"cosy, comfy, authentic, modern apartment @eilandje",247063811,Gert En Kristof,M,Eilandje,51.23299,4.4128,Entire home/apt,81,2,95,2021-11-28,2.84,1,132,20,M,Haha
32894079,very nice airy house in a quiet environment,247469783,Christian,M,Oud - Berchem,51.20082,4.42616,Entire home/apt,123,2,57,2021-12-12,1.72,1,69,8,M,Haha
32927683,Quiet haven in the city Center with amazing garden,247746761,Elke,M,Markgrave,51.19548,4.41006,Entire home/apt,90,2,27,2021-11-20,0.81,1,169,10,M,Haha
